"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Меню на неделю без стресса: 5 правил","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n1-01.png","Меню на неделю без заморочек","","Как составить меню на неделю и не тратить на это весь вечер: 5 простых правил. Меню на неделю из обычных продуктов, без диет и подсчётов. Готовое меню на 4 недели — по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=menu_bez_zamorochek&utm_content=n1-01","2026-09-26T09:00:00","меню на неделю, как составить меню, сбалансированное питание"
"Что приготовить на ужин за 20 минут: 5 идей","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n2-01.png","Ужин за 20 минут: идеи на каждый вечер","","Что приготовить на ужин быстро и вкусно: 5 идей за 20 минут из простых продуктов. Сохраните, чтобы не думать вечером. Меню на месяц со списками покупок — переходите на сайт по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=uzhin_20&utm_content=n2-01","2026-09-26T17:00:00","что приготовить на ужин, быстрый ужин, ужин за 20 минут"
"Что заготовить на неделю: 5 основ","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n3-01.png","Готовим заранее: заготовки и хранение","","Заготовки на неделю: 5 основ, из которых в будни собирается ужин за 20 минут. Сохраните на выходные. Полный план питания на 4 недели — на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=gotovim_zaranee&utm_content=n3-01","2026-09-27T09:00:00","заготовки на неделю, заготовки еды, хранение продуктов"
"Сытный завтрак: из чего собрать","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n4-01.png","Завтрак и перекус: быстро и сытно","","Формула сытного завтрака: белок, основа, овощи или фрукты и немного жиров. Сбалансированный завтрак без подсчёта калорий. Если не хочется составлять самой — готовое меню на месяц ждёт на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=zavtrak_perekus&utm_content=n4-01","2026-09-27T17:00:00","полезный завтрак, быстрый завтрак, полезные перекусы"
"Чем заменить продукт в рецепте: 5 замен","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n5-01.png","Кухонные шпаргалки: покупки, замены, продукты","","Чем заменить продукты в рецепте, если чего-то нет дома: 5 простых замен. Сохраните шпаргалку. Больше таких решений — в готовом меню на 4 недели, ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=shpargalki_kuhnya&utm_content=n5-01","2026-09-28T09:00:00","список покупок, чем заменить, кухонные шпаргалки"
"Как составить меню на неделю за 15 минут: пошагово","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n1-02.png","Меню на неделю без заморочек","","Пошаговая схема, как составить меню на неделю для себя или семьи за 15 минут. Сохраните и попробуйте в выходные. Меню на месяц со списками покупок — переходите на сайт по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=menu_bez_zamorochek&utm_content=n1-02","2026-09-28T17:00:00","меню на неделю, как составить меню, сбалансированное питание"
"5 ошибок, из-за которых ужин готовится час","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n2-02.png","Ужин за 20 минут: идеи на каждый вечер","","Почему быстрый ужин превращается в час у плиты: 5 частых ошибок и что с ними делать. Сохраните и проверьте себя. Полный план питания на 4 недели — на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=uzhin_20&utm_content=n2-02","2026-09-29T09:00:00","что приготовить на ужин, быстрый ужин, ужин за 20 минут"
"Как хранить заготовки: 5 правил","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n3-02.png","Готовим заранее: заготовки и хранение","","Как хранить заготовки на неделю, чтобы еда оставалась свежей: 5 простых правил хранения готовой еды. Если не хочется составлять самой — готовое меню на месяц ждёт на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=gotovim_zaranee&utm_content=n3-02","2026-09-29T17:00:00","заготовки на неделю, заготовки еды, хранение продуктов"
"Каши на завтрак: неделя без повторов","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n4-02.png","Завтрак и перекус: быстро и сытно","","Какую кашу приготовить на завтрак: 5 вариантов, чтобы не повторяться всю неделю. Полезный и сытный завтрак. Больше таких решений — в готовом меню на 4 недели, ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=zavtrak_perekus&utm_content=n4-02","2026-09-30T09:00:00","полезный завтрак, быстрый завтрак, полезные перекусы"
"Список покупок по отделам магазина: шаблон","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n5-02.png","Кухонные шпаргалки: покупки, замены, продукты","","Шаблон списка покупок по отделам магазина: так вы идёте по магазину один раз и ничего не забываете. Сохраните. Готовое меню на 4 недели — по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=shpargalki_kuhnya&utm_content=n5-02","2026-09-30T17:00:00","список покупок, чем заменить, кухонные шпаргалки"
