"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Меню на неделю: как я планирую его за один вечер","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b1-01.png","Моё меню на всю неделю","","Как составить меню на неделю для себя или семьи за один вечер: 5 простых шагов, по которым я планирую питание. Меню на неделю из обычных продуктов, без диет и подсчётов. Не хочешь составлять сама? Моё готовое меню на 4 недели — по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=moe_menu&utm_content=b1-01","2026-09-25T06:00:00","меню на неделю, готовое меню на месяц, меню для семьи"
"Что приготовить на ужин семье за 30 минут: 5 идей","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b2-01.png","Что легко приготовить на ужин","","Что приготовить на ужин семье быстро и вкусно: 5 проверенных ужинов за 30 минут из простых продуктов. Сохрани, чтобы не думать вечером. Ещё больше ужинов на каждый день — в моём меню на 4 недели, ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=uzhin&utm_content=b2-01","2026-09-25T16:00:00","что приготовить на ужин, быстрый ужин, ужин для семьи"
"Заготовка еды на неделю за 2 часа: мой пошаговый план","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b3-01.png","Заготовки на всю неделю: как я готовлю","","Заготовки на неделю за 2 часа: мой пошаговый план на воскресенье. В будни ужин собирается за 20 минут. Сохрани на выходные. Готовый план заготовок на каждую из 4 недель — в моём меню, ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=zagotovki&utm_content=b3-01","2026-09-26T06:00:00","заготовки на неделю, заготовки еды, meal prep"
"Обед с собой на работу на всю неделю: 5 идей для контейнера","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b4-01.png","Завтраки, обеды с собой и перекусы","","Обед с собой на работу на каждый день недели: 5 идей для контейнера из одной воскресной заготовки. Сытно и просто. Меню на 4 недели с обедами и списками покупок — по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=zavtrak_obed&utm_content=b4-01","2026-09-26T16:00:00","обед на работу, полезный завтрак, полезные перекусы"
"Бюджетное меню на неделю: 5 правил","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b5-01.png","Шпаргалки: списки покупок и бюджет","","Бюджетное меню на неделю: 5 правил, как питаться сбалансированно и не тратить лишнего. Сохрани. Списки покупок на каждую неделю — в моём меню на 4 недели, ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=shpargalki&utm_content=b5-01","2026-09-27T06:00:00","бюджетное меню, список покупок на неделю, недорогие продукты"
"Меню на неделю для семьи: 5 правил, чтобы всем нравилось","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b1-02.png","Моё меню на всю неделю","","Как составить меню на неделю для семьи, чтобы готовить одно блюдо на всех и не стоять у плиты весь вечер. Мои 5 правил семейного меню. Полный план питания на месяц со списками покупок — в моём меню, переходи на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=moe_menu&utm_content=b1-02","2026-09-27T16:00:00","меню на неделю, готовое меню на месяц, меню для семьи"
"Ужин из заготовок за 10 минут: 5 сочетаний","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b2-02.png","Что легко приготовить на ужин","","Быстрый ужин из воскресной заготовки: 5 сочетаний, которые собираются за 10 минут. Что приготовить на ужин, когда крупа и курица уже готовы. План заготовок на каждую неделю — в моём меню по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=uzhin&utm_content=b2-02","2026-09-28T06:00:00","что приготовить на ужин, быстрый ужин, ужин для семьи"
"Мини-заготовка в среду: 20 минут на конец недели","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b3-02.png","Заготовки на всю неделю: как я готовлю","","Зачем нужна мини-заготовка в середине недели и как я делаю её за 20 минут. Заготовки на неделю без усталости к пятнице. План воскресной и средовой заготовки — в моём меню на 4 недели по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=zagotovki&utm_content=b3-02","2026-09-28T16:00:00","заготовки на неделю, заготовки еды, meal prep"
"Обед на работу без микроволновки: 5 вариантов","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b4-02.png","Завтраки, обеды с собой и перекусы","","Что взять на обед на работу, если негде разогреть: 5 вариантов без микроволновки. Сытный обед с собой из простых продуктов. Сохрани. Меню на месяц с обедами — переходи на сайт по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=zavtrak_obed&utm_content=b4-02","2026-09-29T06:00:00","обед на работу, полезный завтрак, полезные перекусы"
"Недорогие полезные продукты: мой базовый список","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b5-02.png","Шпаргалки: списки покупок и бюджет","","Недорогие полезные продукты, из которых я собираю меню на неделю. Список продуктов для бюджетного и сбалансированного питания. Сохрани и открой в магазине. Готовое меню на месяц — по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=shpargalki&utm_content=b5-02","2026-09-29T16:00:00","бюджетное меню, список покупок на неделю, недорогие продукты"
